iter	Passed	Remaining
601	4157	2748
602	4165	2742
603	4173	2736
604	4181	2729
605	4186	2722
606	4194	2715
607	4200	2708
608	4206	2700
609	4214	2694
610	4220	2687
611	4231	2682
612	4238	2675
613	4246	2669
614	4252	2661
615	4259	2655
616	4265	2647
617	4275	2642
618	4282	2635
619	4288	2628
620	4296	2622
621	4303	2615
622	4313	2610
623	4320	2603
624	4328	2597
625	4334	2589
626	4340	2582
627	4348	2576
628	4356	2569
629	4363	2562
630	4368	2554
631	4376	2548
632	4382	2540
633	4390	2534
634	4396	2527
635	4403	2520
636	4409	2513
637	4415	2505
638	4423	2499
639	4429	2491
640	4436	2484
641	4443	2477
642	4449	2470
643	4456	2463
644	4461	2455
645	4467	2448
646	4474	2441
647	4480	2433
648	4488	2427
649	4495	2420
650	4503	2414
651	4509	2407
652	4521	2402
653	4527	2395
654	4534	2388
655	4540	2381
656	4546	2373
657	4552	2366
658	4560	2359
659	4569	2353
660	4575	2346
661	4585	2341
662	4592	2334
663	4598	2326
664	4606	2320
665	4614	2313
666	4622	2307
667	4631	2302
668	4638	2295
669	4644	2287
670	4652	2281
671	4658	2273
672	4666	2267
673	4672	2260
674	4678	2252
675	4685	2245
676	4691	2238
677	4699	2231
678	4704	2224
679	4711	2217
680	4718	2210
681	4724	2202
682	4730	2195
683	4736	2188
684	4742	2180
685	4749	2174
686	4756	2167
687	4763	2160
688	4769	2153
689	4775	2145
690	4782	2138
691	4789	2131
692	4792	2122
693	4799	2116
694	4805	2108
695	4812	2101
696	4818	2094
697	4824	2087
698	4830	2080
699	4836	2072
700	4842	2065
701	4849	2058
702	4855	2051
703	4864	2045
704	4876	2040
705	4885	2034
706	4894	2028
707	4901	2021
708	4910	2015
709	4916	2008
710	4923	2001
711	4929	1993
712	4934	1986
713	4945	1980
714	4951	1973
715	4958	1966
716	4966	1960
717	4972	1953
718	4979	1946
719	4986	1939
720	4994	1932
721	5003	1926
722	5011	1919
723	5017	1912
724	5023	1905
725	5029	1898
726	5035	1890
727	5042	1884
728	5048	1876
729	5055	1869
730	5061	1862
731	5067	1855
732	5075	1848
733	5083	1842
734	5091	1835
735	5097	1828
736	5104	1821
737	5111	1814
738	5117	1807
739	5124	1800
740	5129	1793
741	5137	1786
742	5143	1778
743	5148	1771
744	5156	1764
745	5162	1757
746	5168	1750
747	5176	1743
748	5182	1736
749	5189	1729
750	5195	1722
751	5203	1716
752	5209	1708
753	5216	1701
754	5223	1695
755	5229	1687
756	5236	1680
757	5242	1673
758	5248	1666
759	5255	1659
760	5261	1652
761	5270	1646
762	5277	1639
763	5285	1632
764	5292	1625
765	5298	1618
766	5305	1611
767	5310	1604
768	5317	1597
769	5323	1590
770	5329	1582
771	5336	1576
772	5342	1568
773	5349	1562
774	5355	1554
775	5361	1547
776	5369	1541
777	5379	1534
778	5387	1528
779	5394	1521
780	5401	1514
781	5407	1507
782	5412	1500
783	5418	1492
784	5424	1485
785	5431	1478
786	5437	1471
787	5443	1464
788	5451	1457
789	5456	1450
790	5464	1443
791	5470	1436
792	5477	1429
793	5484	1422
794	5489	1415
795	5496	1408
796	5504	1401
797	5509	1394
798	5515	1387
799	5521	1380
800	5529	1373
801	5535	1366
802	5541	1359
803	5548	1352
804	5556	1345
805	5564	1339
806	5570	1332
807	5577	1325
808	5585	1318
809	5593	1312
810	5601	1305
811	5607	1298
812	5613	1291
813	5620	1284
814	5629	1277
815	5635	1270
816	5643	1264
817	5649	1256
818	5655	1249
819	5662	1242
820	5668	1235
821	5676	1229
822	5682	1222
823	5688	1215
824	5696	1208
825	5702	1201
826	5708	1194
827	5714	1187
828	5721	1180
829	5727	1173
830	5733	1165
831	5740	1159
832	5746	1152
833	5752	1145
834	5759	1138
835	5765	1131
836	5773	1124
837	5779	1117
838	5790	1111
839	5796	1104
840	5802	1096
841	5809	1090
842	5814	1082
843	5822	1076
844	5828	1069
845	5835	1062
846	5841	1055
847	5847	1048
848	5854	1041
849	5860	1034
850	5867	1027
851	5874	1020
852	5879	1013
853	5887	1006
854	5894	999
855	5900	992
856	5908	985
857	5914	978
858	5921	971
859	5927	964
860	5934	958
861	5940	950
862	5946	943
863	5953	937
864	5961	930
865	5970	923
866	5975	916
867	5984	910
868	5989	902
869	5995	895
870	6001	888
871	6007	881
872	6013	874
873	6021	868
874	6027	861
875	6035	854
876	6041	847
877	6048	840
878	6054	833
879	6060	826
880	6067	819
881	6073	812
882	6081	805
883	6086	798
884	6092	791
885	6098	784
886	6104	777
887	6111	770
888	6118	764
889	6125	757
890	6132	750
891	6138	743
892	6145	736
893	6151	729
894	6157	722
895	6165	715
896	6171	708
897	6178	701
898	6184	694
899	6192	688
900	6200	681
901	6206	674
902	6214	667
903	6219	660
904	6225	653
905	6233	646
906	6239	639
907	6247	632
908	6254	626
909	6262	619
910	6268	612
911	6276	605
912	6282	598
913	6288	591
914	6295	584
915	6302	577
916	6312	571
917	6319	564
918	6326	557
919	6333	550
920	6340	543
921	6347	536
922	6354	530
923	6361	523
924	6367	516
925	6374	509
926	6380	502
927	6386	495
928	6392	488
929	6398	481
930	6405	474
931	6411	467
932	6417	460
933	6424	454
934	6431	447
935	6439	440
936	6445	433
937	6451	426
938	6458	419
939	6464	412
940	6472	405
941	6478	398
942	6484	391
943	6490	385
944	6496	378
945	6504	371
946	6510	364
947	6518	357
948	6524	350
949	6530	343
950	6537	336
951	6544	329
952	6551	323
953	6561	316
954	6571	309
955	6577	302
956	6585	295
957	6591	288
958	6597	282
959	6604	275
960	6612	268
961	6621	261
962	6627	254
963	6635	247
964	6642	240
965	6649	234
966	6655	227
967	6661	220
968	6673	213
969	6679	206
970	6685	199
971	6692	192
972	6699	185
973	6705	179
974	6711	172
975	6718	165
976	6724	158
977	6731	151
978	6737	144
979	6743	137
980	6751	130
981	6757	123
982	6765	117
983	6771	110
984	6777	103
985	6783	96
986	6789	89
987	6796	82
988	6802	75
989	6809	68
990	6816	61
991	6822	55
992	6831	48
993	6837	41
994	6843	34
995	6851	27
996	6857	20
997	6864	13
998	6870	6
999	6877	0
